1,Antiques,766589,1,null,0
2,Antiquities,22086,2,Antiques,1
3,The Americas,2117,3,Antiquities,2
4,Byzantine,540,3,Antiquities,2
5,Celtic,345,3,Antiquities,2
6,Egyptian,1896,3,Antiquities,2
7,Far Eastern,413,3,Antiquities,2
8,Greek,1438,3,Antiquities,2
9,Holy Land,739,3,Antiquities,2
10,Islamic,1119,3,Antiquities,2
11,Near Eastern,694,3,Antiquities,2
12,Neolithic & Paleolithic,932,3,Antiquities,2
13,Roman,5833,3,Antiquities,2
14,South Italian,375,3,Antiquities,2
15,Viking,767,3,Antiquities,2
16,Reproductions,851,3,Antiquities,2
17,Price Guides & Publications,159,3,Antiquities,2
18,Other,3868,3,Antiquities,2
19,Architectural & Garden,40756,2,Antiques,1
20,Balusters,95,3,Architectural & Garden,19
21,Barn Doors,80,3,Architectural & Garden,19
22,Beams,9,3,Architectural & Garden,19
23,Ceiling Tins,974,3,Architectural & Garden,19
24,Chandeliers & Fixtures & Sconces,6953,3,Architectural & Garden,19
25,Columns & Posts,416,3,Architectural & Garden,19
26,Corbels,196,3,Architectural & Garden,19
27,Doors,1235,3,Architectural & Garden,19
28,Finials,333,3,Architectural & Garden,19
29,Fireplaces & Mantels,1815,3,Architectural & Garden,19
30,Garden,2226,3,Architectural & Garden,19
31,Hardware,15857,3,Architectural & Garden,19
32,Door Bells & Knockers,644,4,Hardware,31
33,Door Knobs & Handles,4358,4,Hardware,31
34,Door Plates & Backplates,840,4,Hardware,31
35,Drawer Pulls,2043,4,Hardware,31
36,Escutcheons & Key Hole Covers,392,4,Hardware,31
37,Heating Grates & Vents,421,4,Hardware,31
38,Hooks & Brackets,1891,4,Hardware,31
39,Locks & Keys,2127,4,Hardware,31
40,Nails,150,4,Hardware,31
41,Screws,27,4,Hardware,31
42,Switch Plates & Outlet Covers,286,4,Hardware,31
43,Other,2678,4,Hardware,31
44,Pediments,239,3,Architectural & Garden,19
45,Plumbing,246,3,Architectural & Garden,19
46,Signs,805,3,Architectural & Garden,19
47,Stained Glass Windows,3521,3,Architectural & Garden,19
48,Pre-1900,480,4,Stained Glass Windows,47
49,1900-1940,1542,4,Stained Glass Windows,47
50,1940-Now,1371,4,Stained Glass Windows,47
51,Unknown,128,4,Stained Glass Windows,47
52,Stair & Carpet Rods,15,3,Architectural & Garden,19
53,Tiles,2299,3,Architectural & Garden,19
54,Weathervanes & Lightning Rods,636,3,Architectural & Garden,19
55,Windows & Sashes & Locks,698,3,Architectural & Garden,19
56,Reproductions,98,3,Architectural & Garden,19
57,Price Guides & Publications,76,3,Architectural & Garden,19
58,Other,1934,3,Architectural & Garden,19
59,Asian Antiques,98784,2,Antiques,1
60,Burma,349,3,Asian Antiques,59
61,China,50301,3,Asian Antiques,59
62,Amulets,238,4,China,61
63,Armor,21,4,China,61
64,Baskets,144,4,China,61
65,Bells,73,4,China,61
66,Bowls,2024,4,China,61
67,Boxes,1282,4,China,61
68,Bracelets,808,4,China,61
69,Brush Pots,493,4,China,61
70,Brush Washers,404,4,China,61
71,Cabinets,617,4,China,61
72,Chairs,169,4,China,61
73,Chests,112,4,China,61
74,Fans,65,4,China,61
75,Glasses & Cups,482,4,China,61
76,Incense Burners,692,4,China,61
77,Ink Stones,143,4,China,61
78,Masks,114,4,China,61
79,Necklaces & Pendants,1693,4,China,61
80,Paintings & Scrolls,1800,4,China,61
81,Plates,1982,4,China,61
82,Pots,2258,4,China,61
83,Rings,244,4,China,61
84,Robes & Textiles,581,4,China,61
85,Seals,786,4,China,61
86,Snuff Bottles,4017,4,China,61
87,Statues,8307,4,China,61
88,Birds,189,5,Statues,87
89,Buddha,1740,5,Statues,87
90,Dogs,41,5,Statues,87
91,Dragons,369,5,Statues,87
92,Elephants,106,5,Statues,87
93,Foo Dogs,285,5,Statues,87
94,Horses,524,5,Statues,87
95,Kwan-yin,600,5,Statues,87
96,Men & Women & Children,1796,5,Statues,87
97,Mice,10,5,Statues,87
98,Monkeys,35,5,Statues,87
99,Oxen,83,5,Statues,87
100,Phoenix,41,5,Statues,87
101,Pigs,25,5,Statues,87
102,Rabbits,19,5,Statues,87
103,Rats,3,5,Statues,87
104,Roosters,25,5,Statues,87
105,Sheep,25,5,Statues,87
106,Snakes,4,5,Statues,87
107,Tigers,70,5,Statues,87
108,Turtles,26,5,Statues,87
109,Other,2291,5,Statues,87
110,Swords,507,4,China,61
111,Tables,1770,4,China,61
112,Tea Caddies,118,4,China,61
113,Teapots,967,4,China,61
114,Vases,6164,4,China,61
115,Other,11226,4,China,61
116,India,1335,3,Asian Antiques,59
117,Japan,21610,3,Asian Antiques,59
118,Armor,329,4,Japan,117
119,Bells,6,4,Japan,117
120,Bowls,1487,4,Japan,117
121,Boxes,460,4,Japan,117
122,Dolls,522,4,Japan,117
123,Fans,45,4,Japan,117
124,Glasses & Cups,463,4,Japan,117
125,Katana,388,4,Japan,117
126,Kimonos & Textiles,1021,4,Japan,117
127,Masks,184,4,Japan,117
128,Netsuke,2573,4,Japan,117
129,Paintings & Scrolls,1817,4,Japan,117
130,Plates,1040,4,Japan,117
131,Prints,2590,4,Japan,117
132,Statues,1049,4,Japan,117
133,Swords,380,4,Japan,117
134,Tea Caddies,114,4,Japan,117
135,Teapots,460,4,Japan,117
136,Tsuba,381,4,Japan,117
137,Vases,2061,4,Japan,117
